stop_name,line,entrance_name,entrance_id,lat,lon
Alfons X,['L4'],Lepant,1882893055.0,41.4120907,2.1655167
Alfons X,['L4'],Plaça Alfons el Savi,1882893056.0,41.4120907,2.1655167
Alfons X,['L4'],Ronda Guinardó,1882893058.0,41.4120907,2.1655167
Arc de Triomf,['L1'],Avinguda de Vilanova,10620621284.0,41.392103,2.1809408
Arc de Triomf,['L1'],Nàpols,772984597.0,41.392103,2.1809408
Arc de Triomf,['L1'],Roger de Flor,4444242719.0,41.392103,2.1809408
Avinguda Tibidabo,['L7'],Plaça Kennedy,6356113187.0,41.4093962,2.1372972
Bac de Roda,['L2'],Bac de Roda,3370613720.0,41.4148468,2.1951542
Bac de Roda,['L2'],Fluvià,3370613719.0,41.4148468,2.1951542
Badal,['L5'],Carrer de Sants,6484166047.0,41.3755675,2.1273397
Badal,['L5'],Carrer de Sants / Arizala,3618492269.0,41.3755675,2.1273397
Badal,['L5'],Carreras i Candi,3618504582.0,41.3755675,2.1273397
Baixador de Vallvidrera,"['S1', 'S2']",Baixador de Vallvidrera,,41.4198107,2.0972285
Barcelona - Sants,"['R15', 'R2N', 'R17', 'R14', 'R13', 'R16', 'Long distance', 'R2', 'R11', 'R2S']",Barcelona - Sants,,41.3788044,2.1406683
Barcelona - Sants,"['R4', 'RG1', 'R1']",Barcelona - Sants,,41.3790581,2.1403805
Barcelona-Arc de Triomf,"['R4', 'RG1', 'R1']",Avinguda de Vilanova,10620621284.0,41.3922652,2.1810426
Barcelona-Arc de Triomf,"['R4', 'RG1', 'R1']",Nàpols,772984597.0,41.3922652,2.1810426
Barcelona-Arc de Triomf,"['R4', 'RG1', 'R1']",Roger de Flor,4444242719.0,41.3922652,2.1810426
Barcelona-El Clot,"['RG1', 'R1']",Aragó,4341391437.0,41.4090414,2.1874883
Barcelona-El Clot,"['R2N', 'R11', 'R2']",Aragó,4341391437.0,41.4091886,2.1873137
Barcelona-El Clot,"['RG1', 'R1']",Aragó / Meridiana,401882327.0,41.4090414,2.1874883
Barcelona-El Clot,"['R2N', 'R11', 'R2']",Aragó / Meridiana,401882327.0,41.4091886,2.1873137
Barcelona-El Clot,"['RG1', 'R1']",Canonge Rodó,4258771236.0,41.4090414,2.1874883
Barcelona-El Clot,"['R2N', 'R11', 'R2']",Canonge Rodó,4258771236.0,41.4091886,2.1873137
Barcelona-Estació de França,"['R15', 'R17', 'R14', 'R13', 'R16', 'Long distance', 'R2S']",Barcelona-Estació de França,,41.3839605,2.1854324
Barcelona-Fabra i Puig,['R4'],Barcelona-Fabra i Puig,,41.4307163,2.1830842
Barcelona-Fabra i Puig,['R7'],Barcelona-Fabra i Puig,,41.4307179,2.1832744
Barcelona-La Sagrera-Meridiana,['R4'],Martí Molins,2876034422.0,41.4229693,2.1867776
Barcelona-Passeig de Gràcia,"['R15', 'R2N', 'R17', 'R14', 'R13', 'R16', 'Long distance', 'R2', 'R11', 'R2S']",Aragó / Pau Claris,1238021398.0,41.39253,2.1653922
Barcelona-Passeig de Gràcia,"['R15', 'R2N', 'R17', 'R14', 'R13', 'R16', 'Long distance', 'R2', 'R11', 'R2S']",Aragó / Rambla Catalunya,1238021397.0,41.39253,2.1653922
Barcelona-Passeig de Gràcia,"['R15', 'R2N', 'R17', 'R14', 'R13', 'R16', 'Long distance', 'R2', 'R11', 'R2S']",Aragó / València,1238021396.0,41.39253,2.1653922
Barcelona-Plaça Catalunya,"['S1', 'S2']",Balmes-Pelai,2927944588.0,41.3856666,2.1683735
Barcelona-Plaça Catalunya,['L6'],Balmes-Pelai,2927944588.0,41.3857427,2.1683819
Barcelona-Plaça Catalunya,['L7'],Balmes-Pelai,2927944588.0,41.3859261,2.1684061
Barcelona-Plaça Catalunya,"['S1', 'S2']",Bergara,4508722585.0,41.3856666,2.1683735
Barcelona-Plaça Catalunya,['L6'],Bergara,4508722585.0,41.3857427,2.1683819
Barcelona-Plaça Catalunya,['L7'],Bergara,4508722585.0,41.3859261,2.1684061
Barcelona-Plaça Catalunya,"['S1', 'S2']",La Rambla,1238021391.0,41.3856666,2.1683735
Barcelona-Plaça Catalunya,['L6'],La Rambla,1238021391.0,41.3857427,2.1683819
Barcelona-Plaça Catalunya,['L7'],La Rambla,1238021391.0,41.3859261,2.1684061
Barcelona-Plaça Catalunya,"['S1', 'S2']",Pelai,1238021393.0,41.3856666,2.1683735
Barcelona-Plaça Catalunya,['L6'],Pelai,1238021393.0,41.3857427,2.1683819
Barcelona-Plaça Catalunya,['L7'],Pelai,1238021393.0,41.3859261,2.1684061
Barcelona-Plaça Espanya,"['R5', 'R50', 'S8', 'R60', 'S4', 'R6']",Gran Via,10904838162.0,41.3743238,2.1485668
Barcelona-Plaça Espanya,"['S9', 'L8', 'S3']",Gran Via,10904838162.0,41.3744634,2.1484354
Barcelona-Plaça de Catalunya,"['R4', 'RG1', 'R1']",Centre Plaça,3141961383.0,41.3875444,2.1693171
Barcelona-Plaça de Catalunya,"['R4', 'RG1', 'R1']",Passeig de Gràcia,1400468988.0,41.3875444,2.1693171
Barcelona-Plaça de Catalunya,"['R4', 'RG1', 'R1']",Rambla Catalunya,1400468983.0,41.3875444,2.1693171
Barcelona-Plaça de Catalunya,"['R4', 'RG1', 'R1']",Ronda Sant Pere,1400468986.0,41.3875444,2.1693171
Barcelona-Plaça de Catalunya,"['R4', 'RG1', 'R1']",Ronda Universitat,1400468977.0,41.3875444,2.1693171
Barcelona-Sant Andreu,"['R2N', 'R11', 'R2']",Barcelona-Sant Andreu,,41.4362383,2.1938193
Barcelona-Torre Baró | Vallbona,"['R4', 'R7']",Barcelona-Torre Baró | Vallbona,,41.4616141,2.1804613
Barceloneta,['L4'],Plaça Pau Vila,880533912.0,41.3820417,2.1854434
Baró de Viver,['L1'],Riu Besòs,3316542520.0,41.4499297,2.1995232
Besòs,['L4'],Besòs,3371093191.0,41.4204312,2.2096327
Besòs Mar,['L4'],Besòs Mar,3371093192.0,41.4150611,2.2160956
Bogatell,['L4'],Pujades,4393287444.0,41.3951757,2.1921294
Bogatell,['L4'],Pujades / Pere IV,312891593.0,41.3951757,2.1921294
